titolo,autore,editore,anno,prezzo,categoria,link_acquisto
L'amica geniale. Vol. 1,Elena Ferrante,,2011,"21,00 €",self-help,https://www.ibs.it/amica-geniale-vol-1-libro-elena-ferrante/e/9788866320326?inventoryId=54251800&queryId=68e56190b813a458465a077e34c9dd47
Storie della buonanotte per bambine ribelli. 100 vite di donne straordinarie. Ediz. a colori,Francesca Cavallo,,2017,"19,00 €",self-help,https://www.ibs.it/storie-della-buonanotte-per-bambine-libro-francesca-cavallo-elena-favilli/e/9788804676379?inventoryId=57255962&queryId=68e56190b813a458465a077e34c9dd47
Cecità,José Saramago,,2013,"13,00 €",self-help,https://www.ibs.it/cecita-libro-jose-saramago/e/9788807881572?inventoryId=46700109&queryId=68e56190b813a458465a077e34c9dd47
La vegetariana,Han Kang,,2019,"12,00 €",self-help,https://www.ibs.it/vegetariana-libro-han-kang/e/9788845934018?inventoryId=793488121&queryId=68e56190b813a458465a077e34c9dd47
I Leoni di Sicilia. La saga dei Florio,Stefania Auci,,2020,"18,00 €",self-help,https://www.ibs.it/leoni-di-sicilia-saga-dei-libro-stefania-auci/e/9788842931539?inventoryId=133827950&queryId=68e56190b813a458465a077e34c9dd47
Il treno dei bambini,Viola Ardone,,2019,"17,50 €",self-help,https://www.ibs.it/treno-dei-bambini-libro-viola-ardone/e/9788806242329?inventoryId=144400233&queryId=68e56190b813a458465a077e34c9dd47
Pezzettino. Ediz. illustrata,Leo Lionni,,2013,"6,00 €",self-help,https://www.ibs.it/pezzettino-ediz-illustrata-libro-leo-lionni/e/9788883622908?inventoryId=47783129&queryId=68e56190b813a458465a077e34c9dd47
Sapiens. Da animali a dèi. Breve storia dell'umanità. Nuova ediz.,Yuval Noah Harari,,2017,"18,00 €",self-help,https://www.ibs.it/sapiens-da-animali-a-dei-libro-yuval-noah-harari/e/9788845296499?inventoryId=89622316&queryId=68e56190b813a458465a077e34c9dd47
Norwegian wood. Tokyo blues,Haruki Murakami,,2013,"14,50 €",self-help,https://www.ibs.it/norwegian-wood-tokyo-blues-libro-haruki-murakami/e/9788806216467?inventoryId=53704317&queryId=68e56190b813a458465a077e34c9dd47
Una vita come tante,Hanya Yanagihara,Sellerio Editore Palermo,2016,"27,00 €",self-help,https://www.ibs.it/vita-come-tante-libro-hanya-yanagihara/e/9788838935688?inventoryId=49885213&queryId=68e56190b813a458465a077e34c9dd47
Se questo è un uomo,Primo Levi,,2014,"13,00 €",self-help,https://www.ibs.it/se-questo-uomo-libro-primo-levi/e/9788806219352?inventoryId=50486875&queryId=68e56190b813a458465a077e34c9dd47
Spillover. L'evoluzione delle pandemie,David Quammen,,2017,"14,00 €",self-help,https://www.ibs.it/spillover-evoluzione-delle-pandemie-libro-david-quammen/e/9788845932045?inventoryId=72471871&queryId=68e56190b813a458465a077e34c9dd47
L'arte della gioia,Goliarda Sapienza,,2014,"16,00 €",self-help,https://www.ibs.it/arte-della-gioia-libro-goliarda-sapienza/e/9788806219673?inventoryId=50497228&queryId=68e56190b813a458465a077e34c9dd47
L'uomo che scambiò sua moglie per un cappello,Oliver Sacks,,2001,"13,00 €",self-help,https://www.ibs.it/uomo-che-scambio-sua-moglie-libro-oliver-sacks/e/9788845916250?inventoryId=48415540&queryId=68e56190b813a458465a077e34c9dd47
Accabadora,Michela Murgia,,2014,"12,00 €",self-help,https://www.ibs.it/accabadora-libro-michela-murgia/e/9788806221898?inventoryId=50488646&queryId=68e56190b813a458465a077e34c9dd47
L'ordine del tempo,Carlo Rovelli,,2017,"15,00 €",self-help,https://www.ibs.it/ordine-del-tempo-libro-carlo-rovelli/e/9788845931925?inventoryId=216842631&queryId=68e56190b813a458465a077e34c9dd47
Finché il caffè è caldo,Toshikazu Kawaguchi,,2020,"16,00 €",self-help,https://www.ibs.it/finche-caffe-caldo-libro-toshikazu-kawaguchi/e/9788811608769?inventoryId=172624905&queryId=68e56190b813a458465a077e34c9dd47
